COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME
542422,20160331,24932,720855,13.798505174771918,31189,808,92229,580949,624937,31189_20160331,624937,580949,24932,720855,542422,0.1379850517477192,0.929612104900174,14.56175582498716,0.13203730936078356,,,,,,,,,47.3,medium,"Ponce Bank, National Association"
547539,20160630,22989,727557,13.456831368591862,31189,904,92503,595838,632438,31189_20160630,632438,595838,22989,727557,547539,0.13456831368591862,0.9421287145933672,13.267679993928258,0.13424082676878998,,,,,,,,,47.4,medium,"Ponce Bank, National Association"
555695,20160930,21438,736262,13.499942039263285,31189,1186,92760,616241,640215,31189_20160930,640215,616241,21438,736262,555695,0.13499942039263285,0.9625532047827683,12.2222534617277,0.1320181501526831,0.9358704097467706,0.026682795035997686,0.13627668271681892,-0.0012772623241860681,13.914717909457709,-1.6924644477300088,0.13313906806478676,-0.0011209179121036694,49.4,medium,"Ponce Bank, National Association"
557443,20161231,12217,744983,13.318713705364393,31189,1425,92992,644290,646960,31189_20161231,646960,644290,12217,744983,557443,0.13318713705364393,0.9958730060591072,6.892551316928404,0.13836558674415728,0.9447646747587699,0.05110833130033732,0.1358509286087569,-0.0026637915551129543,13.350563093547706,-6.458011776619302,0.13276542876075223,0.005600157983405046,64.2,high,"Ponce Bank, National Association"
576757,20170331,17004,786284,13.080538161726354,31189,570,93502,679667,661551,31189_20170331,661551,679667,17004,786284,576757,0.13080538161726354,1.0273841321379606,9.381680323965952,0.1281745473893925,0.9575417575838542,0.06984237455410647,0.13518498071997864,-0.004379599102715098,11.73606014939288,-2.3543798254269284,0.13416546825660347,-0.00599092086721098,60.8,high,"Ponce Bank, National Association"
582402,20170630,9495,812996,12.70250813053153,31189,1687,94674,734663,707067,31189_20170630,707067,734663,9495,812996,582402,0.1270250813053153,1.0390288331940254,4.901480340618357,0.17631285295452906,0.9819847643933008,0.057044068800724546,0.13339006318736474,-0.006364981882049425,10.441041274137579,-5.539560933519222,0.13319977776375572,0.04311307519077334,68.0,high,"Ponce Bank, National Association"
617006,20170930,56344,890156,14.89852562789911,31189,2598,127616,767720,736103,31189_20170930,736103,767720,56344,890156,617006,0.1489852562789911,1.0429518695073923,27.9384270951212,0.16179393372938297,1.0062097940434653,0.03674207546392694,0.13150425509221392,0.017481001186777173,8.349491360810104,19.588935734311093,0.14371778431019047,0.0180761494191925,64.0,high,"Ponce Bank, National Association"
606793,20171231,59725,924173,14.668923815688292,31189,566,124726,798703,751007,31189_20171231,751007,798703,59725,924173,606793,0.14668923815688292,1.0635093947193568,29.027192822437073,0.19202750440408678,1.0263094602246214,0.037199934494735354,0.13500071406380346,0.011688524093079466,12.278534769158478,16.748658053278596,0.15116173020436546,0.040865774199721316,66.0,high,"Ponce Bank, National Association"
638735,20180331,58980,947938,14.354017287313784,31189,1469,125995,823014,790601,31189_20180331,790601,823014,58980,947938,638735,0.14354017287313783,1.04099792436387,27.229538034988572,0.19208930927231307,1.0432185573896837,-0.0022206330258136564,0.1383762393396132,0.005163933533524623,17.812195145535647,9.417342889452925,0.16457720961934783,0.02751209965296525,62.6,high,"Ponce Bank, National Association"
608206,20180630,49181,967184,14.02871956035482,31189,2391,127269,850426,789951,31189_20180630,789951,850426,49181,967184,608206,0.1402871956035482,1.076555381283143,22.724276569053018,0.23007123226630513,1.046622005446161,0.029933375836981968,0.14155993715358178,-0.001272741550033596,22.2741595732913,0.45011699576171793,0.18055590009007796,0.04951533217622717,65.1,high,"Ponce Bank, National Association"
617226,20180930,22389,981089,13.776812030287763,31189,3296,128339,893884,802710,31189_20180930,802710,893884,22389,981089,617226,0.13776812030287763,1.1135827384734214,10.180494823784429,0.23107224277759092,1.0560036424684405,0.0575790960049809,0.14487546572814,-0.007107345425262368,26.729858630399963,-16.549363806615535,0.19399549491802198,0.03707674785956894,80.7,critical,"Ponce Bank, National Association"
622809,20181231,69778,1058206,13.664106139067444,31189,4399,130738,918509,846662,31189_20181231,846662,918509,69778,1058206,622809,0.13664106139067445,1.0848591291448062,30.081626434161446,0.26439476438059106,1.0736613597099478,0.011197769434858396,0.14207118173411165,-0.005430120343437206,22.290375562565774,7.791250871595672,0.21131507218007398,0.05307969220051709,66.4,high,"Ponce Bank, National Association"
667930,20190331,41567,1032057,13.56273816451646,31189,1242,132267,925099,845000,31189_20190331,845000,925099,41567,1032057,667930,0.1356273816451646,1.0947917159763314,17.954976331360946,0.20955029585798818,1.0789987933163103,0.01579292266002108,0.13955913754255952,-0.003931755897394917,22.553983965496865,-4.599007634135919,0.22940688717420005,-0.01985659131621187,72.5,high,"Ponce Bank, National Association"
690573,20190630,53009,1054684,13.645234843376919,31189,2836,134128,934236,831409,31189_20190630,831409,934236,53009,1054684,690573,0.1364523484337692,1.1236779972312063,23.27168096568596,0.16939436546874043,1.0924472412194255,0.031230756011780825,0.13758093973556623,-0.001128591301797044,20.23534353958996,3.0363374260960008,0.23377213382061884,-0.06437776835187842,65.6,high,"Ponce Bank, National Association"
637813,20190930,47389,1098506,13.619951903221612,31189,4055,135511,948548,782381,31189_20190930,782381,948548,47389,1098506,637813,0.1361995190322161,1.2123862926119116,22.108135294696574,0.18477953835791003,1.1042278952064413,0.10815839740547029,0.13662222794312148,-0.00042270891090537277,20.372194638748194,1.7359406559483794,0.21860291712122765,-0.03382337876331762,73.5,high,"Ponce Bank, National Association"
641194,20191231,27677,1051663,12.923492666052272,31189,-2997,136604,956162,801754,31189_20191231,801754,956162,27677,1051663,641194,0.12923492666052272,1.192587751355154,12.600005737420705,0.20026092791554517,1.1289287837410638,0.06365896761409018,0.13623007762545608,-0.006995150964933361,23.354104756476232,-10.754099019055527,0.20702974101630742,-0.006768813100762244,77.6,critical,"Ponce Bank, National Association"
689345,20200331,103960,1147532,12.75515844981345,31189,-575,136243,973304,848739,31189_20200331,848739,973304,103960,1147532,689345,0.1275515844981345,1.1467647887041834,44.707972651191945,0.1878009611906605,1.1558609392936507,-0.009096150589467333,0.13437854394291815,-0.006826959444783648,18.983699582291045,25.7242730689009,0.19099628190004594,-0.0031953207093854408,66.2,high,"Ponce Bank, National Association"
768316,20200630,76631,1216694,11.626587489494947,31189,-560,136420,1072741,952049,31189_20200630,952049,1072741,76631,1216694,768316,0.11626587489494947,1.1267707859574454,29.379070825136104,0.1929869155894287,1.1688542074756139,-0.04208342151816846,0.13235959465616062,-0.016093719761211156,25.671948662248795,3.707122162887309,0.18555894823321406,0.007427967356214649,68.3,high,"Ponce Bank, National Association"
804688,20200930,78564,1260820,11.45949388531629,31189,3771,140875,1109233,987357,31189_20200930,987357,1109233,78564,1260820,804688,0.1145949388531629,1.1234366090481964,29.043051297554985,0.18500805686291788,1.1696274046571735,-0.0461907956089771,0.12731297627145569,-0.01271803741829279,27.198796127111333,1.8442551704436525,0.1914570857633861,-0.006449028900468223,67.6,high,"Ponce Bank, National Association"
852665,20201231,74726,1315286,11.187932019017513,31189,4786,141985,1159623,1041988,31189_20201231,1041988,1159623,74726,1315286,852665,0.11187932019017513,1.1128947742200486,26.1759156535392,0.18169403102530932,1.147389983766245,-0.03449520954619634,0.1219118312266924,-0.01003251103651727,28.932525127825933,-2.7566094742867335,0.1915142153896381,-0.009820184364328771,66.2,high,"Ponce Bank, National Association"
954203,20210331,91795,1420297,10.78287438095777,31189,2852,144864,1230417,1154177,31189_20210331,1154177,1230417,91795,1420297,954203,0.1078287438095777,1.0660557262880823,29.029494609578947,0.17326112026145038,1.1274667394824684,-0.06141101319438613,0.1175729296091055,-0.009744185799527794,32.326502606855556,-3.2970079972766086,0.1868724911670791,-0.013611370905628722,61.4,high,"Ponce Bank, National Association"
1048542,20210630,65921,1525350,10.229044896737301,31189,9563,151672,1343513,1251057,31189_20210630,1251057,1343513,65921,1525350,1048542,0.10229044896737301,1.0739023082081791,19.23266885521603,0.16187511839988106,1.1072894738784431,-0.03338716567026401,0.1126422194369663,-0.010351770469593291,28.40688309645231,-9.174214241236282,0.18323753093477657,-0.021362412534895514,65.2,high,"Ponce Bank, National Association"
1109885,20210930,65120,1542915,9.983690272219269,31189,12791,154493,1302197,1267520,31189_20210930,1267520,1302197,65120,1542915,1109885,0.09983690272219269,1.0273581481949003,18.752209038121688,0.12436490154001514,1.0940723544411266,-0.06671420624622626,0.10914836295507217,-0.009311460232879487,25.870282603972292,-7.1180735658506045,0.17545958163738967,-0.05109468009737453,57.8,high,"Ponce Bank, National Association"
1089098,20211231,154197,1630029,10.910594465383802,31189,28055,169797,1305043,1338489,31189_20211231,1338489,1305043,154197,1630029,1089098,0.10910594465383802,0.9750121218777293,42.04883641180466,0.18632278636581998,1.0700527392278025,-0.09504061735007319,0.10545885392232963,0.0036470907315083873,23.297572039113966,18.75126437269069,0.16029879280666395,0.026023993559156022,48.0,medium,"Ponce Bank, National Association"
1009752,20220331,71785,1590165,14.881469960401217,31189,-4399,241636,1308418,1225399,31189_20220331,1225399,1308418,71785,1590165,1009752,0.14881469960401217,1.0677485455757676,21.38203556555865,0.17598104780565352,1.0355820761422228,0.03216646943354484,0.10476551003824536,0.04404918956576681,27.26580222868033,-5.88376666312168,0.16145598164179165,0.014525066163861872,73.6,high,"Ponce Bank, National Association"
1011573,20220630,277297,2033683,28.789631721706314,31189,-2316,461046,1333553,1188224,31189_20220630,1188224,1333553,277297,2033683,1011573,0.28789631721706316,1.1223077466874933,85.180407902887,0.14866809625121188,1.0360052809641442,0.0863024657233491,0.11501199898685396,0.1728843182302092,25.353937467675255,59.826470435211746,0.16213596352784243,-0.013467867276630546,100.0,critical,"Ponce Bank, National Association"
1138385,20220930,65011,2150148,22.90617374334952,31189,-13750,446546,1395910,1392263,31189_20220930,1392263,1395910,65011,2150148,1138385,0.2290617374334952,1.0026194763489369,17.043486036761735,0.1823491682246817,1.0481066405839727,-0.04548716423503585,0.16141346604927653,0.06764827138421867,41.840872229592996,-24.79738619283126,0.15883420799067513,0.023514960234006566,82.2,critical,"Ponce Bank, National Association"
1041917,20221231,55855,2300787,20.47028014801896,31189,-22146,438975,1495105,1290454,31189_20221231,1290454,1495105,55855,2300787,1041917,0.2047028014801896,1.158588372774233,15.798374060601928,0.19259655904046172,1.0419219726224818,0.11666640015175123,0.19371967472710214,0.010983126753087463,41.413691479253,-25.615317418651074,0.17333027466184178,0.019266284378619936,100.0,critical,"Ponce Bank, National Association"
1072866,20230331,185932,2527056,19.511339371540007,31189,1147,442729,1617414,1378381,31189_20230331,1378381,1617414,185932,2527056,1072866,0.19511339371540007,1.1734157682092252,49.235429101242694,0.22164771568963879,1.0878160353466078,0.08559973286261746,0.21761888893369002,-0.022505495218289956,34.851075891452325,14.384353209790369,0.1748987178305022,0.04674899785913658,100.0,critical,"Ponce Bank, National Association"
1309053,20230630,244785,2658705,17.949935262797155,31189,1649,442554,1705117,1474947,31189_20230630,1474947,1705117,244785,2658705,1309053,0.17949935262797154,1.1560530649575884,60.57609188669152,0.11247454993298064,1.1142328410049722,0.0418202239526162,0.229193562461537,-0.049694209833565456,41.81442427537334,18.76166761131818,0.18631538480149853,-0.07384083486851789,100.0,critical,"Ponce Bank, National Association"
1263646,20230930,118008,2610701,17.50739688811586,31189,4980,443274,1801710,1428837,31189_20230930,1428837,1801710,118008,2610701,1263646,0.1750739688811586,1.2609625870550665,30.14543996271093,0.11561220769059032,1.1226691705724958,0.13829341648257065,0.2020943213142641,-0.02702035243310552,35.663345271324474,-5.517905308613543,0.1772669982219407,-0.06165479053135038,100.0,critical,"Ponce Bank, National Association"
1264483,20231231,139439,2736531,17.49303226043716,31189,7062,450502,1905866,1532206,31189_20231231,1532206,1905866,139439,2736531,1264483,0.1749303226043716,1.2438706022558323,33.21696625649554,0.17473042136631758,1.1872549482490282,0.05661565400680413,0.18859737917617997,-0.013667056571808361,38.93883375281177,-5.721867496316229,0.16058275808841785,0.014147663277899736,100.0,critical,"Ponce Bank, National Association"
1335854,20240331,134972,2803740,16.255395982068737,31189,3502,453360,1989288,1611631,31189_20240331,1611631,1989288,134972,2803740,1335854,0.16255395982068738,1.2343321765342066,30.568275244147078,0.17111671344122817,1.2085755056194283,0.02575667091477829,0.18115425945722546,-0.018600299636538087,43.29348180178517,-12.725206557638092,0.15611622366988182,0.015000489771346354,91.8,critical,"Ponce Bank, National Association"
1345708,20240630,103415,2830270,16.695594875078363,31189,7559,457755,2059938,1627977,31189_20240630,1627977,2059938,103415,2830270,1345708,0.16695594875078362,1.2653360581875543,23.186123022622557,0.17338635619544993,1.2238046077006735,0.041531450486880894,0.17301440098354728,-0.006058452232763661,38.62669333751127,-15.440570314888713,0.14348347310777917,0.02990288308767075,92.2,critical,"Ponce Bank, National Association"
1596606,20240930,156061,3004704,16.194456869285442,31189,11128,465587,2189897,1898733,31189_20240930,1898733,2189897,156061,3004704,1596606,0.16194456869285442,1.1533464684081438,30.000144833423132,0.15912031865459755,1.2511253560081648,-0.09777888760002096,0.1698785500142503,-0.007933981321395889,29.279201121494026,0.720943711929106,0.1587114246733965,0.00040889398120105835,73.6,high,"Ponce Bank, National Association"
1618695,20241231,140088,3027309,15.811673558934627,31189,14721,467003,2297335,1909102,31189_20241231,1909102,2297335,140088,3027309,1618695,0.15811673558934627,1.2033589614384146,26.783335830144225,0.1521170686532202,1.2242213263464343,-0.020862364908019737,0.16659619996717429,-0.008479464377828011,29.24287733917208,-2.4595415090278543,0.1695884524143983,-0.0174713837611781,80.6,critical,"Ponce Bank, National Association"
1734060,20250331,130142,3076841,15.60961385757359,31189,6563,475771,2379498,2030903,31189_20250331,2030903,2379498,130142,3076841,1734060,0.1560961385757359,1.171645322302444,23.389511956011685,0.14616306145591396,1.2140934161420798,-0.04244809383963588,0.16239280321341795,-0.006296664637682053,27.634469732584247,-4.244957776572562,0.16393511423612395,-0.01777205278020999,79.4,critical,"Ponce Bank, National Association"
1786892,20250630,126888,3143813,15.985765647018827,31189,13454,483594,2464415,2065934,31189_20250630,2065934,2464415,126888,3143813,1786892,0.15985765647018826,1.192881766794099,22.418005609085288,0.13506820643834702,1.198421702584139,-0.005539935790040085,0.16077834790218007,-0.0009206914319918047,25.8397789105504,-3.4217733014651124,0.1576967012397954,-0.02262849480144838,71.7,high,"Ponce Bank, National Association"
1846060,20250930,146828,3145279,16.07552357393829,31189,20672,492764,2495840,2076195,31189_20250930,2076195,2495840,146828,3145279,1846060,0.1607552357393829,1.2021221513393492,25.812710270470742,0.11084459793034855,1.1803081297357754,0.02181402160357382,0.15900377483203124,0.0017514609073516763,25.647749557166083,0.16496071330465867,0.14811716380051967,-0.03727256587017112,72.0,high,"Ponce Bank, National Association"
1797923,20251231,126402,3214470,16.11637761511051,31189,31385,504790,2602646,2061697,31189_20251231,2061697,2602646,126402,3214470,1797923,0.16116377615110508,1.262380456488029,22.378036151772058,0.12794023564083373,1.1925020504685766,0.06987840601945239,0.15870644159366334,0.002457334557441737,24.600890916427986,-2.222854764655928,0.13604823361945745,-0.008107997978623716,80.6,critical,"Ponce Bank, National Association"
