INSTNAME,CITY,STALP,EST_DATE,CERT,CLASS,REGULATOR,MINORITY_ALPHA,MINORITY_NUM,FDIC_REGION,ASSET,FHLB_MEMBER,CDFI_CERT
BHM BANK,BIRMINGHAM,AL,01/28/2000,35314,NM,FDIC,B,1,ATLANTA,18546.0,0,0
COMMONWEALTH NATIONAL BANK,MOBILE,AL,02/19/1976,22229,N,OCC,B,1,ATLANTA,66167.0,0,0
U. S. CENTURY BANK,DORAL,FL,10/28/2002,57369,NM,FDIC,H,2,ATLANTA,2788916.0,0,0
BANESCO USA,MIAMI,FL,01/10/2006,57815,NM,FDIC,H,7,ATLANTA,5477082.0,0,0
"INTERAMERICAN BANK, A FSB",MIAMI,FL,08/23/1976,31823,SB,OCC,H,2,ATLANTA,320479.0,0,0
INTERNATIONAL FINANCE BANK,MIAMI,FL,11/30/1983,24823,NM,FDIC,H,7,ATLANTA,1580518.0,0,0
OCEAN BANK,MIAMI,FL,12/09/1982,24156,NM,FDIC,H,2,ATLANTA,7436315.0,0,0
SUNSTATE BANK,MIAMI,FL,03/15/1999,34643,NM,FDIC,H,7,ATLANTA,568962.0,0,0
ANCHOR BANK,PALM BEACH GARDENS,FL,03/22/2005,57931,SM,FED,H,7,ATLANTA,570745.0,0,0
CENTRAL BANK,TAMPA,FL,02/26/2007,58377,NM,FDIC,A,3,ATLANTA,368568.0,0,0
TOUCHMARK NATIONAL BANK,ALPHARETTA,GA,01/28/2008,58687,N,OCC,A,3,ATLANTA,418375.0,0,0
CITIZENS TRUST BANK,ATLANTA,GA,06/18/1921,8033,SM,FED,B,1,ATLANTA,795547.0,0,0
METRO CITY BANK,DORAVILLE,GA,04/04/2006,58181,NM,FDIC,A,3,ATLANTA,4713542.0,0,0
PROMISEONE BANK,DULUTH,GA,11/06/2008,58657,NM,FDIC,A,3,ATLANTA,837006.0,0,0
LOYAL TRUST BANK,JOHNS CREEK,GA,11/18/2019,59182,NM,FDIC,A,8,ATLANTA,243045.0,0,0
EMBASSY NATIONAL BANK,LAWRENCEVILLE,GA,03/05/2007,58413,N,OCC,A,3,ATLANTA,218199.0,0,0
AMERICAN PRIDE BANK,MACON,GA,12/12/2007,58584,NM,FDIC,M,5,ATLANTA,772771.0,0,0
CARVER STATE BANK,SAVANNAH,GA,01/01/1927,16584,NM,FDIC,B,1,ATLANTA,118106.0,0,0
MECHANICS & FARMERS BANK,DURHAM,NC,03/01/1908,12266,NM,FDIC,B,1,ATLANTA,479538.0,0,0
LUMBEE GUARANTY BANK,PEMBROKE,NC,12/22/1971,20568,NM,FDIC,N,4,ATLANTA,561380.0,0,0
OPTUS BANK,COLUMBIA,SC,03/26/1999,35241,NM,FDIC,B,1,ATLANTA,777905.0,0,0
CITIZENS BANK OF CHATSWORTH,CHATSWORTH,IL,12/07/1903,10843,NM,FDIC,A,3,CHICAGO,37401.0,0,0
AMERICAN METRO BANK,CHICAGO,IL,01/29/1997,34334,NM,FDIC,A,3,CHICAGO,120324.0,0,0
DEVON BANK,CHICAGO,IL,09/15/1945,16249,NM,FDIC,M,10,CHICAGO,456680.0,0,0
GN BANK,CHICAGO,IL,01/01/1934,29399,SB,OCC,B,1,CHICAGO,63692.0,0,0
INTERNATIONAL BANK OF CHICAGO,CHICAGO,IL,10/26/1992,33708,NM,FDIC,A,3,CHICAGO,965048.0,0,0
MILLENNIUM BANK,DES PLAINES,IL,07/02/2007,58348,NM,FDIC,A,3,CHICAGO,810984.0,0,0
FIRST INDEPENDENCE BANK,DETROIT,MI,05/14/1970,20179,NM,FDIC,B,1,CHICAGO,696917.0,0,0
WARSAW FEDERAL SAVINGS AND LOAN ASSOCIATION,CINCINNATI,OH,01/01/1893,28217,SB,OCC,B,6,CHICAGO,100548.0,0,0
ADELPHI BANK,COLUMBUS,OH,01/18/2023,59292,NM,FDIC,B,6,CHICAGO,106369.0,0,0
BAY BANK,GREEN BAY,WI,08/21/1995,34052,NM,FDIC,N,4,CHICAGO,309682.0,0,0
COLUMBIA SAVINGS AND LOAN ASSOCIATION,MILWAUKEE,WI,01/01/1924,28480,SL,FDIC,B,6,CHICAGO,21998.0,0,0
"NATIVE AMERICAN BANK, NATIONAL ASSOCIATION",DENVER,CO,07/27/1987,27026,N,OCC,N,4,DALLAS,392959.0,0,0
LIBERTY BANK AND TRUST COMPANY,NEW ORLEANS,LA,11/16/1972,20856,NM,FDIC,B,1,DALLAS,1105310.0,0,0
"GRAND BANK FOR SAVINGS, FSB",HATTIESBURG,MS,01/01/1968,31864,SB,OCC,B,1,DALLAS,277467.0,0,0
COMMUNITY 1ST BANK LAS VEGAS,LAS VEGAS,NM,11/23/1949,16854,NM,FDIC,H,2,DALLAS,292100.0,0,0
CENTINEL BANK OF TAOS,TAOS,NM,03/01/1969,19904,NM,FDIC,H,2,DALLAS,413219.0,0,0
FIRSTBANK,ANTLERS,OK,01/01/1901,14331,SM,FED,N,4,DALLAS,644831.0,0,0
ALLNATIONS BANK,CALUMET,OK,01/01/1901,4051,SM,FED,N,4,DALLAS,77144.0,0,0
F&M BANK,EDMOND,OK,01/01/1902,12761,NM,FDIC,N,4,DALLAS,809540.0,0,0
BANK OF GRAND LAKE,GROVE,OK,06/09/2005,57915,NM,FDIC,H,2,DALLAS,235548.0,0,0
THE HOPETON STATE BANK,HOPETON,OK,01/01/1919,12585,NM,FDIC,M,5,DALLAS,31601.0,0,0
LOCAL BANK,HULBERT,OK,12/01/1908,2327,SM,FED,N,4,DALLAS,429030.0,0,0
GATEWAY FIRST BANK,JENKS,OK,03/02/1935,15118,NM,FDIC,N,4,DALLAS,2006088.0,0,0
CHICKASAW COMMUNITY BANK,OKLAHOMA CITY,OK,01/01/1903,11521,SM,FED,N,4,DALLAS,435936.0,0,0
FIRST SECURITY BANK AND TRUST COMPANY,OKLAHOMA CITY,OK,04/06/1951,17001,NM,FDIC,B,1,DALLAS,255112.0,0,0
THE PAULS VALLEY NATIONAL BANK,PAULS VALLEY,OK,01/01/1905,4173,N,OCC,N,4,DALLAS,348568.0,0,0
SOVEREIGN BANK,SHAWNEE,OK,10/29/1984,25738,SM,FED,N,4,DALLAS,1360197.0,0,0
CARSON COMMUNITY BANK,STILWELL,OK,02/03/1903,2320,NM,FDIC,N,4,DALLAS,164883.0,0,0
SECURITY STATE BANK OF OKLAHOMA,WEWOKA,OK,12/05/1911,8980,NM,FDIC,N,4,DALLAS,394838.0,0,0
CITIZENS SAVINGS BANK AND TRUST COMPANY,NASHVILLE,TN,01/04/1904,10319,NM,FDIC,B,1,DALLAS,183374.0,0,0
THE FIRST STATE BANK,ABERNATHY,TX,01/01/1909,11175,NM,FDIC,N,4,DALLAS,127606.0,0,0
FREEDOM BANK,ALAMO,TX,07/12/1958,17881,NM,FDIC,H,2,DALLAS,301601.0,0,0
INTERNATIONAL BANK OF COMMERCE,BROWNSVILLE,TX,10/09/1984,25679,NM,FDIC,H,7,DALLAS,4387332.0,0,0
"AMERICAN BANK, NATIONAL ASSOCIATION",DALLAS,TX,05/02/1974,21567,N,OCC,A,3,DALLAS,700010.0,0,0
ONE WORLD BANK,DALLAS,TX,04/04/2005,57901,NM,FDIC,A,3,DALLAS,308647.0,0,0
SPECTRA BANK,FORT WORTH,TX,06/30/1986,26708,NM,FDIC,A,3,DALLAS,115921.0,0,0
AMERICAN FIRST NATIONAL BANK,HOUSTON,TX,05/18/1998,34656,N,OCC,A,3,DALLAS,2884603.0,0,0
GLOBAL ONE BANK,HOUSTON,TX,01/01/1907,11570,NM,FDIC,A,3,DALLAS,314700.0,0,0
"GOLDEN BANK, NATIONAL ASSOCIATION",HOUSTON,TX,05/03/1985,26223,N,OCC,A,3,DALLAS,2219657.0,0,0
SOUTHWESTERN NATIONAL BANK,HOUSTON,TX,11/03/1997,34319,N,OCC,A,3,DALLAS,1377158.0,0,0
UNITY NATIONAL BANK OF HOUSTON,HOUSTON,TX,08/01/1985,26351,N,OCC,B,1,DALLAS,228695.0,0,0
STATE BANK OF TEXAS,IRVING,TX,10/19/1987,27074,NM,FDIC,A,3,DALLAS,2772872.0,0,0
COMMERCE BANK,LAREDO,TX,03/31/1982,23772,NM,FDIC,H,7,DALLAS,736936.0,0,0
FALCON INTERNATIONAL BANK,LAREDO,TX,12/10/1986,26856,NM,FDIC,H,2,DALLAS,2178874.0,0,0
INTERNATIONAL BANK OF COMMERCE,LAREDO,TX,09/02/1966,19629,NM,FDIC,H,7,DALLAS,9753348.0,0,0
BANK OF SOUTH TEXAS,MCALLEN,TX,07/08/1986,26727,NM,FDIC,H,2,DALLAS,167747.0,0,0
RIO BANK,MCALLEN,TX,02/11/1985,25886,NM,FDIC,H,7,DALLAS,1393727.0,0,0
TEXAS NATIONAL BANK,MERCEDES,TX,11/26/1920,3337,N,OCC,H,2,DALLAS,1176779.0,0,0
LONE STAR NATIONAL BANK,PHARR,TX,01/24/1983,24347,N,OCC,H,2,DALLAS,3282339.0,0,0
FIRST STATE BANK,SHALLOWATER,TX,10/08/1960,18301,NM,FDIC,A,3,DALLAS,146655.0,0,0
WALLIS BANK,WALLIS,TX,10/28/1972,20845,NM,FDIC,A,3,DALLAS,1392348.0,0,0
INTERNATIONAL BANK OF COMMERCE,ZAPATA,TX,02/06/1984,24961,NM,FDIC,H,7,DALLAS,512448.0,0,0
ZAPATA NATIONAL BANK,ZAPATA,TX,11/16/1961,18454,N,OCC,H,2,DALLAS,85839.0,0,0
PINNACLE BANK,MARSHALLTOWN,IA,05/05/1927,252,SM,FED,N,4,KANSAS CITY,306592.0,0,0
CBW BANK,WEIR,KS,01/01/1892,13959,NM,FDIC,A,3,KANSAS CITY,82820.0,0,0
WOODLANDS NATIONAL BANK,HINCKLEY,MN,10/01/1908,1417,N,OCC,N,4,KANSAS CITY,312199.0,0,0
LAKE COUNTRY COMMUNITY BANK,MORRISTOWN,MN,05/02/1928,17122,NM,FDIC,A,3,KANSAS CITY,32647.0,0,0
PARAMOUNT BANK,HAZELWOOD,MO,12/30/2004,57884,NM,FDIC,M,10,KANSAS CITY,83489.0,0,0
PEOPLE'S BANK OF SENECA,SENECA,MO,03/15/1996,34146,NM,FDIC,N,4,KANSAS CITY,482991.0,0,0
TURTLE MOUNTAIN STATE BANK,BELCOURT,ND,12/03/2007,58586,NM,FDIC,N,4,KANSAS CITY,117412.0,0,0
"CITY FIRST BANK, NATIONAL ASSOCIATION",WASHINGTON,DC,11/24/1998,34352,N,OCC,B,6,NEW YORK,1341642.0,0,0
INDUSTRIAL BANK,WASHINGTON,DC,08/18/1934,14679,NM,FDIC,B,1,NEW YORK,773428.0,0,0
"LEADER BANK, NATIONAL ASSOCIATION",ARLINGTON,MA,05/08/2002,57134,N,OCC,A,3,NEW YORK,5031931.0,0,0
THE HARBOR BANK OF MARYLAND,BALTIMORE,MD,09/13/1982,24015,NM,FDIC,B,6,NEW YORK,380381.0,0,0
"HANA BANK USA, NATIONAL ASSOCIATION",FORT LEE,NJ,09/16/1986,26790,N,OCC,A,3,NEW YORK,799671.0,0,0
NEW MILLENNIUM BANK,FORT LEE,NJ,07/19/1999,35151,NM,FDIC,A,8,NEW YORK,953009.0,0,0
FIVE RIVERS BANK,PARAMUS,NJ,05/12/2025,59345,NM,FDIC,A,8,NEW YORK,34232.0,0,0
"PONCE BANK, NATIONAL ASSOCIATION",BRONX,NY,03/31/1960,31189,N,OCC,H,7,NEW YORK,3214470.0,0,0
AMERASIA BANK,FLUSHING,NY,06/20/1988,27267,NM,FDIC,A,3,NEW YORK,999961.0,0,0
NEWBANK,FLUSHING,NY,09/29/2006,58203,NM,FDIC,A,3,NEW YORK,637134.0,0,0
ABACUS FEDERAL SAVINGS BANK,NEW YORK,NY,11/29/1984,32257,SB,OCC,A,3,NEW YORK,316086.0,0,0
CARVER FEDERAL SAVINGS BANK,NEW YORK,NY,01/01/1948,30394,SB,OCC,B,6,NEW YORK,695941.0,0,0
"EASTBANK, NATIONAL ASSOCIATION",NEW YORK,NY,11/26/1984,25749,N,OCC,A,3,NEW YORK,147425.0,0,0
GLOBAL BANK,NEW YORK,NY,03/12/2007,58263,NM,FDIC,A,3,NEW YORK,272576.0,0,0
PIERMONT BANK,NEW YORK,NY,07/01/2019,59154,NM,FDIC,M,10,NEW YORK,519657.0,0,0
POPULAR BANK,NEW YORK,NY,01/02/1999,34967,SM,FED,H,7,NEW YORK,15061146.0,0,0
SHINHAN BANK AMERICA,NEW YORK,NY,10/18/1990,33188,NM,FDIC,A,8,NEW YORK,1896869.0,0,0
UNITED ORIENT BANK,NEW YORK,NY,04/09/1981,23373,NM,FDIC,A,3,NEW YORK,100637.0,0,0
WOORI AMERICA BANK,NEW YORK,NY,01/27/1984,24920,NM,FDIC,A,8,NEW YORK,3956261.0,0,0
ASIAN BANK,PHILADELPHIA,PA,06/09/1999,34759,SM,FED,A,3,NEW YORK,660393.0,0,0
TIOGA-FRANKLIN SAVINGS BANK,PHILADELPHIA,PA,03/31/1873,33802,SI,FDIC,B,6,NEW YORK,71404.0,0,0
UNITED BANK OF PHILADELPHIA,PHILADELPHIA,PA,03/23/1992,33568,NM,FDIC,B,1,NEW YORK,50677.0,0,0
BANCO POPULAR DE PUERTO RICO,SAN JUAN,PR,01/02/1999,34968,SM,FED,H,7,NEW YORK,59766000.0,0,0
NAVE BANK,SAN JUAN,PR,09/18/2023,59324,SM,FED,H,7,NEW YORK,426981.0,0,0
ORIENTAL BANK,SAN JUAN,PR,03/25/1965,31469,NM,FDIC,H,7,NEW YORK,12384752.0,0,0
FIRSTBANK PUERTO RICO,SANTURCE,PR,01/17/1949,30387,NM,FDIC,H,7,NEW YORK,19111594.0,0,0
FIRST COMMERCIAL BANK (USA),ALHAMBRA,CA,05/20/1997,34496,NM,FDIC,A,8,SAN FRANCISCO,835864.0,0,0
"NEW OMNI BANK, NATIONAL ASSOCIATION",ALHAMBRA,CA,02/12/1980,23086,N,OCC,A,3,SAN FRANCISCO,520138.0,0,0
"AMERICAN PLUS BANK, N.A.",ARCADIA,CA,08/08/2007,58469,N,OCC,A,3,SAN FRANCISCO,867250.0,0,0
AMERICAN CONTINENTAL BANK,CITY OF INDUSTRY,CA,10/06/2003,57444,NM,FDIC,A,3,SAN FRANCISCO,378189.0,0,0
EVERTRUST BANK,CITY OF INDUSTRY,CA,05/03/1995,34010,NM,FDIC,A,8,SAN FRANCISCO,1107990.0,0,0
UNITED PACIFIC BANK,CITY OF INDUSTRY,CA,05/11/1982,23805,NM,FDIC,A,3,SAN FRANCISCO,186022.0,0,0
COMMUNITY COMMERCE BANK,CLAREMONT,CA,10/01/1976,26363,NM,FDIC,H,2,SAN FRANCISCO,411598.0,0,0
US METRO BANK,GARDEN GROVE,CA,09/15/2006,58310,NM,FDIC,A,3,SAN FRANCISCO,1550823.0,0,0
CALIFORNIA PACIFIC BANK,HAYWARD,CA,10/16/1980,23242,NM,FDIC,A,3,SAN FRANCISCO,97163.0,0,0
BANK IRVINE,IRVINE,CA,10/18/2022,59296,NM,FDIC,M,10,SAN FRANCISCO,285956.0,0,0
CALIFORNIA BUSINESS BANK,IRVINE,CA,11/01/2005,58037,NM,FDIC,A,3,SAN FRANCISCO,122022.0,0,0
COMMERCIAL BANK OF CALIFORNIA,IRVINE,CA,05/15/2003,57417,NM,FDIC,H,2,SAN FRANCISCO,3701611.0,0,0
ALTOS BANK,LOS ALTOS,CA,11/25/2024,59339,NM,FDIC,M,5,SAN FRANCISCO,53609.0,0,0
BANK OF HOPE,LOS ANGELES,CA,03/18/1986,26610,NM,FDIC,A,8,SAN FRANCISCO,18526390.0,0,0
CATHAY BANK,LOS ANGELES,CA,04/19/1962,18503,NM,FDIC,A,3,SAN FRANCISCO,24213489.0,0,0
COMMONWEALTH BUSINESS BANK,LOS ANGELES,CA,03/03/2005,57873,SM,FED,A,3,SAN FRANCISCO,2006978.0,0,0
CTBC BANK CORP. (USA),LOS ANGELES,CA,04/27/1965,19416,NM,FDIC,A,8,SAN FRANCISCO,5583080.0,0,0
EASTERN INTERNATIONAL BANK,LOS ANGELES,CA,02/26/1985,32277,NM,FDIC,A,3,SAN FRANCISCO,125534.0,0,0
HANMI BANK,LOS ANGELES,CA,12/15/1982,24170,NM,FDIC,A,8,SAN FRANCISCO,7822274.0,0,0
OPEN BANK,LOS ANGELES,CA,06/10/2005,57944,NM,FDIC,A,3,SAN FRANCISCO,2650892.0,0,0
PCB BANK,LOS ANGELES,CA,09/18/2003,57463,NM,FDIC,A,3,SAN FRANCISCO,3280733.0,0,0
PREFERRED BANK,LOS ANGELES,CA,12/23/1991,33539,NM,FDIC,A,3,SAN FRANCISCO,7601679.0,0,0
ROYAL BUSINESS BANK,LOS ANGELES,CA,11/18/2008,58816,NM,FDIC,A,8,SAN FRANCISCO,4201116.0,0,0
MONTEREY COUNTY BANK,MONTEREY,CA,05/05/1977,22460,NM,FDIC,A,3,SAN FRANCISCO,282995.0,0,0
LEGACY BANK,MURRIETA,CA,06/10/2022,59204,NM,FDIC,N,4,SAN FRANCISCO,104464.0,0,0
GENESIS BANK,NEWPORT BEACH,CA,08/02/2021,59245,NM,FDIC,M,10,SAN FRANCISCO,415306.0,0,0
"GATEWAY BANK, F.S.B.",OAKLAND,CA,06/08/1990,33103,SB,OCC,A,3,SAN FRANCISCO,260466.0,0,0
METROPOLITAN BANK,OAKLAND,CA,09/01/1983,25869,NM,FDIC,A,3,SAN FRANCISCO,234246.0,0,0
EAST WEST BANK,PASADENA,CA,01/01/1972,31628,SM,FED,A,8,SAN FRANCISCO,79661753.0,0,0
ICON BUSINESS BANK,RIVERSIDE,CA,08/22/2023,59314,NM,FDIC,M,10,SAN FRANCISCO,147005.0,0,0
FIRST GENERAL BANK,ROWLAND HEIGHTS,CA,10/13/2005,58060,NM,FDIC,A,3,SAN FRANCISCO,1135513.0,0,0
BANK OF THE ORIENT,SAN FRANCISCO,CA,03/17/1971,20387,SM,FED,A,3,SAN FRANCISCO,1121934.0,0,0
MISSION NATIONAL BANK,SAN FRANCISCO,CA,02/16/1982,23749,N,OCC,A,3,SAN FRANCISCO,236745.0,0,0
ASIAN PACIFIC NATIONAL BANK,SAN GABRIEL,CA,07/25/1990,33013,N,OCC,A,3,SAN FRANCISCO,57377.0,0,0
MEGA BANK,SAN GABRIEL,CA,02/05/2008,58401,NM,FDIC,A,3,SAN FRANCISCO,509981.0,0,0
PACIFIC ALLIANCE BANK,SAN GABRIEL,CA,12/27/2006,58234,NM,FDIC,A,3,SAN FRANCISCO,440122.0,0,0
UNIVERSAL BANK,WEST COVINA,CA,11/17/1954,30722,SB,OCC,A,3,SAN FRANCISCO,371160.0,0,0
"CALIFORNIA INTERNATIONAL BANK, N.A.",WESTMINSTER,CA,11/30/2005,57974,N,OCC,A,3,SAN FRANCISCO,90899.0,0,0
"BANK OF WHITTIER, NATIONAL ASSOCIATION",WHITTIER,CA,12/20/1982,24211,N,OCC,A,3,SAN FRANCISCO,168938.0,0,0
BANK OF GUAM,HAGATNA,GU,12/11/1972,20884,NM,FDIC,A,3,SAN FRANCISCO,3014461.0,0,0
"BANKPACIFIC, LTD",HAGATNA,GU,01/01/1953,30692,NM,FDIC,A,3,SAN FRANCISCO,178071.0,0,0
"FINANCE FACTORS, LTD.",HONOLULU,HI,05/14/1952,25158,NM,FDIC,A,3,SAN FRANCISCO,687876.0,0,0
HAWAII NATIONAL BANK,HONOLULU,HI,09/16/1960,18296,N,OCC,A,3,SAN FRANCISCO,893251.0,0,0
ONEUNITED BANK,BOSTON,MA,08/02/1982,23966,NM,FDIC,B,1,SAN FRANCISCO,761724.0,0,0
EAGLE BANK,POLSON,MT,07/25/2006,58282,NM,FDIC,N,4,SAN FRANCISCO,194018.0,0,0
REDEMPTION BANK,SALT LAKE CITY,UT,02/20/1974,21448,NM,FDIC,B,1,SAN FRANCISCO,72205.0,0,0
UNIBANK,LYNNWOOD,WA,11/01/2006,58407,SM,FED,A,3,SAN FRANCISCO,408899.0,0,0
,,TOTAL COUNT,,154,,,,TOTAL COMBINED ASSETS,,387847159.0,0,0
